id,products,productsVariants,productsVariantsIds,total,createdAt,scannedAt
4093,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-24 15:47:26.710885","2024-12-22 18:27:01.490604,2024-12-22 18:20:43.042389"
4095,"Schaatsverhuur,Schaatsverhuur,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Volwassen,Volwassen","187,187,185,185",55.60,"2024-11-24 17:54:17.971388","2024-11-30 18:08:24.733919,2024-11-30 18:08:44.606818,2024-11-30 18:15:39.012394,2024-11-30 18:15:43.775219"
4096,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-24 18:48:15.066217","2024-12-14 17:22:00.411976,2024-12-14 17:22:08.700243"
4125,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-24 20:41:27.759152","2024-12-14 21:20:45.218128,2024-12-14 21:20:29.702374"
4126,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Kinderen,Kinderen,Volwassen,Volwassen,Volwassen,Volwassen,Kinderen,Kinderen","185,185,185,185,185,185,186,186,187,187,187,187,188,188",66.00,"2024-11-24 22:22:37.298418","2024-12-28 17:37:53.201096,2024-12-28 17:37:53.184082,2024-12-28 17:37:26.309316,2024-12-28 17:37:45.236588,2024-12-28 17:37:37.603865,2024-12-28 17:38:01.677160,2024-12-28 17:28:49.207376,2024-12-28 17:28:24.236592,2024-12-28 17:28:43.163227"
4137,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Kinderen","183,183,183,184",30.00,"2024-11-25 01:30:38.827307","2024-12-25 18:25:59.842404,2024-12-25 18:26:43.911481,2024-12-25 18:27:21.435127,2024-12-25 18:27:34.358076"
4142,"Reuzenrad ",Kinderen,184,48.40,"2024-11-25 02:12:12.265704","2024-12-21 15:33:44.951436"
4144,"Entree schaatsbaan",Kinderen,186,4.50,"2024-11-25 02:37:32.334876","2024-11-30 18:46:36.974610"
4153,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-25 18:18:51.361452","2024-12-03 15:47:30.488056,2024-12-03 15:47:40.272227"
4155,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-25 19:20:09.946341","2024-12-01 20:01:38.811324,2024-12-01 20:01:46.741846"
4156,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-25 19:47:54.214251","2024-11-28 20:35:46.920839,2024-11-28 20:35:52.515487"
4157,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-25 19:56:14.345610","2024-11-30 21:18:50.548524,2024-11-30 21:18:40.662606"
4159,"Entree schaatsbaan,Schaatsverhuur","Volwassen,Volwassen","185,187",12.00,"2024-11-25 20:52:14.187784","2024-12-01 21:04:04.950984,2024-12-01 20:59:00.370641"
4160,"Entree schaatsbaan,Schaatsverhuur","Volwassen,Volwassen","185,187",12.00,"2024-11-25 20:57:08.201007","2024-12-01 20:58:52.681865,2024-12-01 20:53:28.598262"
4163,"Entree schaatsbaan,Schaatsverhuur","Volwassen,Volwassen","185,187",12.00,"2024-11-25 22:13:44.480445","2024-12-01 21:03:59.125469,2024-12-01 20:58:28.756762"
4172,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-26 03:35:09.970272",NULL
