id,products,productsVariants,productsVariants,total,createdAt,scannedAt
497,"Reuzenrad ",Volwassen,150,8.00,2023-11-27 05:15:09.988656,2023-12-06 20:48:19.191846
510,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ,Reuzenrad ,Carrousel","Volwassen,Volwassen,Kinderen,Volwassen,Volwassen,Kinderen,Kinderen","148,148,149,150,150,161,153",44.00,2023-11-27 14:32:49.114768,"2023-12-02 18:30:53.139762,2023-12-02 18:30:57.449169,2023-12-02 18:30:45.294642"
515,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-27 17:30:17.269093,"2023-12-15 00:30:40.511830,2023-12-15 00:30:32.966016"
517,"Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen","148,148",12.00,2023-11-27 17:50:20.873255,"2023-11-30 20:41:38.065338,2023-11-30 20:41:41.691476"
531,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Kinderen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Kinderen","148,148,148,148,149,150,150,150,150,150,161",68.50,2023-11-28 16:03:56.325162,"2023-12-27 22:16:47.403092,2023-12-27 22:17:02.114118,2023-12-27 22:26:30.163194,2023-12-27 23:30:01.499171,2023-12-27 23:30:08.953951,2023-12-27 22:16:04.736649,2023-12-27 23:30:28.748438,2023-12-27 23:30:21.515567,2023-12-27 23:30:15.181845"
539,"Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen","150,150,150",16.00,2023-11-28 23:36:03.503196,"2023-12-19 16:03:06.221636,2023-12-19 16:03:17.423919"
545,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",85.00,2023-11-29 01:25:00.286716,"2023-12-25 19:37:25.397004,2023-12-25 19:37:12.048363"
547,Carrousel,Kinderen,153,3.50,2023-11-29 02:08:22.520425,NULL
559,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-29 03:51:15.495317,"2023-12-02 16:16:51.643199,2023-12-02 16:16:59.011570"
562,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","148,148,148,148",24.00,2023-11-29 12:25:52.320309,"2023-12-03 21:57:48.049800,2023-12-03 21:57:54.732785,2023-12-03 21:57:51.179110,2023-12-03 21:57:42.167480"
563,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","148,148,148,150,150,150",42.00,2023-11-29 15:42:10.275099,NULL
564,"Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen","148,148",12.00,2023-11-29 15:47:36.790339,"2023-12-24 18:55:59.609639,2023-12-24 18:56:06.179419"
565,"Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Kinderen","150,150,161",24.00,2023-11-29 16:04:28.247237,NULL
566,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-29 16:24:20.015295,"2023-12-01 23:31:24.769468,2023-12-01 23:31:31.464901"
567,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-29 17:17:52.612061,"2023-12-22 23:56:15.455417,2023-12-22 23:56:20.863228"
