date,deal_variant_key,Final_Forecast
2025-11-17,magisch kids pakket_alle dagen geldig,21.073562282124037
2025-11-17,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),24.524638952470717
2025-11-17,magisch kids pakket_niet geldig op woensdag,25.688321091916016
2025-11-17,magisch vrijthof pakket_alle dagen geldig,22.20348688482354
2025-11-17,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,28.482864597617134
2025-11-17,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),28.02351033045068
2025-11-17,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),34.71910164937327
2025-11-17,magisch vrijthof pakket_magisch vrijthof,28.22276460850776
2025-11-17,magisch vrijthof pakket_magisch vrijthof pakket,27.34006975882667
2025-11-17,magisch vrijthof pakket_niet geldig op woensdag,27.980599673029594
2025-11-17,magisch vrijthof pakket_weekend,26.730952227993257
2025-11-17,magisch vrijthof_magisch vrijthof,28.402207509580787
2025-11-17,magisch vrijthof_magisch vrijthof pakket,28.445563560010275
2025-11-17,magische fijnproevers_alle dagen geldig,27.6210972432783
2025-11-17,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),31.521033519288352
2025-11-17,soort pakket_basis,31.577491681199795
2025-11-17,soort pakket_standaard,31.621059247903077
2025-11-18,carrousel (5 tickets)_5 tickets,23.727678312865528
2025-11-18,carrousel (5 tickets)_alle dagen geldig,20.32804239295597
2025-11-18,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.66682556964347
2025-11-18,kids pakket_alle dagen geldig,23.996125199060582
2025-11-18,kids pakket_magisch vrijthof pakket,23.048688385610724
2025-11-18,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),23.424820074469753
2025-11-18,magisch kids pakket_5 tickets,23.616680888966446
2025-11-18,magisch kids pakket_alle dagen geldig,23.17214453460625
2025-11-18,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.315359017976775
