createdAt,product_core,variant_id,year,month,weekofyear,dayofweek,day,hour,is_weekend,is_month_start,is_month_end,product_core_le,variant_id_le,lag_7d,lag_30d,lag_90d,lag_365d,rolling_mean_7d,rolling_mean_30d,rolling_mean_90d,ytd_cumsum,revenue_growth_rate,product_x_year,product_x_month,variant_x_year,variant_x_month,product_x_weekofyear,forecast
2025-12-09,Entree schaatsbaan,153,2025,12,50,1,9,12,0,0,0,1,5,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,10125,60,50,13.75601674602528
2025-12-09,Entree schaatsbaan,159,2025,12,50,1,9,12,0,0,0,1,6,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,12150,72,50,13.799794840446237
2025-12-09,Entree schaatsbaan,161,2025,12,50,1,9,12,0,0,0,1,7,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,14175,84,50,13.80607290477275
2025-12-09,Entree schaatsbaan,183,2025,12,50,1,9,12,0,0,0,1,8,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,16200,96,50,13.801303118209134
2025-12-09,Entree schaatsbaan,184,2025,12,50,1,9,12,0,0,0,1,9,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,18225,108,50,13.830746315271337
2025-12-09,Entree schaatsbaan,185,2025,12,50,1,9,12,0,0,0,1,10,3.690563624449792,3.690563624449792,3.690563624449792,3.694188872181776,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,20250,120,50,13.766499491819172
2025-12-09,Entree schaatsbaan,186,2025,12,50,1,9,12,0,0,0,1,11,3.287984825657672,3.287984825657672,3.287984825657672,3.284051501012644,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,22275,132,50,14.646082681516113
2025-12-09,Entree schaatsbaan,187,2025,12,50,1,9,12,0,0,0,1,12,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,24300,144,50,13.589106528321576
2025-12-09,Entree schaatsbaan,188,2025,12,50,1,9,12,0,0,0,1,13,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,26325,156,50,13.533200782461869
2025-12-09,Handschoenen,143,2025,12,50,1,9,12,0,0,0,2,0,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,0,0,100,10.228109008289413
2025-12-09,Handschoenen,144,2025,12,50,1,9,12,0,0,0,2,1,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,2025,12,100,10.12442367037132
2025-12-09,Handschoenen,148,2025,12,50,1,9,12,0,0,0,2,2,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,4050,24,100,10.193520964769366
2025-12-09,Handschoenen,149,2025,12,50,1,9,12,0,0,0,2,3,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,6075,36,100,9.94044960317307
2025-12-09,Handschoenen,150,2025,12,50,1,9,12,0,0,0,2,4,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,8100,48,100,10.037434398357627
2025-12-09,Handschoenen,153,2025,12,50,1,9,12,0,0,0,2,5,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,10125,60,100,10.114916972574601
