deal_variant_key,slotDates,Model_Prediction,Applied_Growth_Rate,Final_Forecast
soort pakket_basis,2025-11-12,0.5748913152902035,0.07584289297070437,25.969338686068475
soort pakket_standaard,2025-11-12,0.5748913152902035,0.07732723686587384,26.005168666070308
carrousel (5 tickets)_5 tickets,2025-11-13,0.5239610710263802,0.07749080237694725,23.704941071778627
carrousel (5 tickets)_alle dagen geldig,2025-11-13,0.4791895550146625,0.08901428612819832,21.911252688036477
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-13,0.5301650272236633,0.0846398788362281,24.14476212003914
kids pakket_alle dagen geldig,2025-11-13,0.5561118463062105,0.08197316968394074,25.264163610786767
kids pakket_magisch vrijthof pakket,2025-11-13,0.5481750773339478,0.07312037280884874,24.699832811084963
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-13,0.6526302566741014,0.07311989040672406,29.40639158443681
magisch kids pakket_5 tickets,2025-11-13,0.5946987380818092,0.07116167224336399,26.747200221880746
magisch kids pakket_alle dagen geldig,2025-11-13,0.5752809277558837,0.0873235229154987,26.264252615554955
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-13,0.48139276212224325,0.08202230023486418,21.870668353945735
magisch kids pakket_niet geldig op woensdag,2025-11-13,0.5458674080057555,0.0841614515559209,24.848914020359597
magisch vrijthof pakket_alle dagen geldig,2025-11-13,0.47832554740810057,0.07041168988591606,21.498131137484418
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-13,0.4730652296027351,0.08939819704323988,21.638839608880076
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-13,0.4704757933464381,0.08664885281600843,21.46608260696417
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-13,0.41553161159913693,0.07424678221356552,18.742797672683427
magisch vrijthof pakket_magisch vrijthof,2025-11-13,0.49813162594364746,0.07363649934414201,22.455755453691918
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-13,0.4981188636095489,0.07366809019706869,22.455840852967576
magisch vrijthof pakket_niet geldig op woensdag,2025-11-13,0.6043711225261184,0.07608484485919076,27.30715826106258
magisch vrijthof pakket_weekend,2025-11-13,0.577276890266764,0.08049512863264476,26.18986576319792
magisch vrijthof_magisch vrijthof,2025-11-13,0.5878897735885746,0.07863890037284232,26.625530621367496
magisch vrijthof_magisch vrijthof pakket,2025-11-13,0.5896227816374555,0.07582458280396084,26.634344098811564
magische fijnproevers_alle dagen geldig,2025-11-13,0.5301769745978477,0.08223705789444759,24.09181672460657
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-13,0.6442589028184103,0.07278987721304084,29.02026558924763
soort pakket_basis,2025-11-13,0.643283436899146,0.07584289297070437,29.058789026129432
soort pakket_standaard,2025-11-13,0.643283436899146,0.07732723686587384,29.098881530689138
carrousel (5 tickets)_5 tickets,2025-11-14,0.41156165538833644,0.07749080237694725,18.619789384873947
carrousel (5 tickets)_alle dagen geldig,2025-11-14,0.4552056201504397,0.08901428612819832,20.81457173628386
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-14,0.5400281290988733,0.0846398788362281,24.59394725356208
kids pakket_alle dagen geldig,2025-11-14,0.6024534534493742,0.08197316968394074,27.369463026054085
